user_id,book_id,rating
4,18,5
4,29,5
4,31,2
4,32,1
4,30,5
4,25,5
4,28,5
4,15,5
4,12,5
4,36,5
4,41,5
4,47,3
1,8,2
2,5,4
3,35,1
4,37,2
5,15,3
6,33,2
7,27,4
8,37,1
9,24,5
10,31,3
11,45,1
12,26,1
13,45,4
14,1,3
15,18,1
16,32,3
17,20,4
18,28,4
19,5,1
20,48,3
21,7,5
22,3,5
23,2,3
24,3,1
25,34,2
26,6,2
27,34,3
28,9,1
29,32,2
30,27,2
31,16,1
32,17,1
33,8,3
34,27,4
35,23,3
36,32,3
37,48,3
38,38,3
39,16,3
40,2,3
41,48,3
42,11,2
43,36,2
44,33,5
45,32,2
46,46,1
47,22,2
48,33,1
49,10,1
50,48,2
51,33,5
52,9,2
53,28,1
54,38,3
55,6,2
56,21,5
57,12,4
58,31,5
59,40,1
60,38,2
61,9,3
62,3,2
63,45,5
64,19,3
65,44,3
66,36,5
67,18,4
68,8,1
69,15,4
70,31,5
71,8,1
72,22,4
73,6,4
74,7,4
75,15,1
76,36,4
77,4,2
78,38,3
79,26,1
80,26,5
81,24,4
82,44,4
83,15,2
84,30,2
85,38,5
86,30,5
87,33,4
88,19,4
89,10,4
90,17,4
91,43,4
92,8,2
93,12,2
94,1,5
95,10,4
96,17,1
97,39,1
98,27,1
99,7,1
100,25,5
101,16,4
102,27,4
103,29,5
104,6,1
105,21,3
106,36,3
107,11,4
108,33,2
109,4,1
110,10,1
111,19,2
112,31,4
113,14,3
114,27,3
115,42,1
116,44,5
117,47,3
118,44,5
119,32,2
120,31,2
121,5,2
122,21,5
123,26,2
124,9,2
125,27,3
126,46,4
127,29,4
128,29,2
129,28,2
130,46,5
131,48,1
132,30,2
133,14,5
134,48,4
135,29,2
136,30,5
137,47,5
138,11,3
139,8,4
140,47,2
141,47,3
142,22,3
143,21,1
144,6,3
145,4,2
146,12,5
147,37,3
148,8,3
149,4,2
150,26,4
151,23,5
152,12,3
153,43,3
154,1,2
155,35,2
156,5,3
157,7,4
158,32,5
159,22,1
160,42,5
161,15,4
162,39,2
163,17,2
164,26,2
165,6,4
166,35,5
167,23,5
168,18,2
169,12,2
170,46,2
171,22,5
172,19,5
173,32,1
174,7,2
175,5,4
176,10,2
177,40,5
178,6,1
179,39,4
180,21,3
181,14,5
182,9,2
183,43,1
184,36,2
185,9,5
186,27,3
187,27,1
188,16,2
189,27,3
190,5,2
191,7,3
192,15,5
193,47,5
194,31,3
195,26,1
196,48,2
197,23,5
198,10,1
199,30,3
200,5,2
201,2,1
202,20,3
203,47,2
204,17,3
205,30,5
206,3,1
207,28,4
208,32,5
209,39,5
210,46,3
211,23,4
212,18,4
213,47,1
214,26,5
215,2,5
216,21,2
217,23,1
218,14,2
219,39,4
220,31,1
221,45,2
222,8,4
223,43,2
224,3,3
225,29,1
226,31,5
227,12,5
228,38,1
229,25,2
230,37,3
231,45,1
232,8,3
233,32,3
234,37,1
235,32,2
236,28,5
237,18,2
238,13,5
239,15,4
240,46,2
241,5,5
242,28,5
243,43,3
244,44,5
245,44,3
246,36,1
247,47,4
248,7,5
249,19,1
250,10,2
251,1,2
252,47,3
253,26,2
254,33,5
255,28,2
256,39,5
257,24,5
258,29,2
259,16,1
260,42,4
261,23,5
262,31,2
263,5,1
264,44,4
265,27,2
266,47,4
267,29,4
268,18,5
269,36,1
270,7,4
271,37,1
272,12,3
273,22,2
274,23,3
275,47,1
276,1,5
277,25,2
278,26,2
279,4,1
280,45,2
281,20,3
282,28,4
283,45,2
284,1,2
285,39,3
286,28,1
287,19,4
288,42,3
289,13,1
290,17,4
291,22,4
292,19,5
293,10,3
294,2,4
295,24,3
296,24,5
297,28,5
298,27,5
299,39,1
300,9,4
301,31,1
302,22,4
303,19,4
304,7,3
305,36,1
306,21,2
307,42,5
308,14,4
309,30,2
310,1,4
311,6,3
312,48,2
313,21,5
314,22,2
315,16,3
316,27,4
317,1,2
318,18,2
319,23,4
320,2,4
321,36,1
322,32,1
323,20,3
324,11,5
325,48,3
326,46,2
327,4,5
328,35,4
329,27,5
330,2,3
331,14,3
332,25,5
333,22,5
334,31,3
335,16,1
336,10,2
337,17,1
338,32,1
339,9,3
340,24,2
341,14,2
342,13,4
343,23,5
344,21,3
345,4,5
346,1,2
347,10,2
348,38,5
349,19,5
350,17,2
351,5,1
352,10,3
353,8,4
354,34,2
355,45,1
356,25,4
357,16,5
358,32,4
359,48,5
360,5,1
361,30,2
362,37,5
363,47,3
364,15,1
365,45,5
366,26,1
367,20,4
368,26,5
369,16,5
370,43,2
371,24,5
372,8,3
373,34,1
374,33,1
375,10,1
376,9,4
377,9,3
378,4,2
379,42,1
380,5,3
381,17,5
382,20,1
383,34,1
384,16,2
385,39,2
386,37,5
387,9,5
388,16,2
389,3,3
390,34,5
391,13,5
392,26,5
393,13,3
394,24,2
395,3,1
396,1,3
397,40,4
398,12,3
399,9,3
400,26,1
401,42,1
402,36,2
403,39,5
